frame,machine angle,expert angle,chosen angle,angle
0,0.125,0,0.125,0.125
1,0.0,0,0.0,0.125
2,0.0,0,0.0,0.125
3,0.0,0,0.0,0.125
4,0.0,0,0.0,0.125
5,0.0,0,0.0,0.125
6,0.0,0,0.0,0.125
7,0.0,0,0.0,0.125
8,0.0,0,0.0,0.125
9,0.0,0,0.0,0.125
10,0.0,0,0.0,0.125
11,0.0,0,0.0,0.125
12,0.0,0,0.0,0.125
13,0.125,0,0.125,0.25
14,-0.125,0,-0.125,0.125
15,0.0,0,0.0,0.125
16,0.125,0,0.125,0.25
17,-0.125,0,-0.125,0.125
18,0.25,0,0.125,0.25
19,0.25,0,0.125,0.375
20,0.125,0,0.125,0.5
21,-0.125,0,-0.125,0.375
22,0.0,0,0.0,0.375
23,0.0,-0.125,0.0,0.375
24,0.0,0,0.0,0.375
25,0.0,0,0.0,0.375
26,-0.25,0,-0.125,0.25
27,0.0,0,0.0,0.25
28,0.0,0,0.0,0.25
29,0.125,0,0.125,0.375
30,-0.125,0,-0.125,0.25
31,-0.125,0,-0.125,0.125
32,0.0,-0.125,-0.125,0.0
33,0.125,0,0.125,0.125
34,0.0,0,0.0,0.125
35,0.0,0,0.0,0.125
36,-0.125,0,-0.125,0.0
37,0.125,-0.125,-0.125,-0.125
38,0.25,0,0.125,0.0
39,0.125,0,0.125,0.125
40,0.0,0,0.0,0.125
41,0.0,0,0.0,0.125
42,0.125,0,0.125,0.25
43,-0.125,-0.125,-0.125,0.125
44,-0.125,0,-0.125,0.0
45,-0.0,0,-0.0,0.0
46,-0.0,-0.125,-0.125,-0.125
47,0.25,-0.125,-0.125,-0.25
48,0.375,-0.125,-0.125,-0.375
49,0.5,-0.125,-0.125,-0.5
50,0.625,-0.125,-0.125,-0.625
51,0.75,0,0.125,-0.5
52,0.5,0,0.125,-0.375
53,0.625,0,0.125,-0.25
54,0.25,0,0.125,-0.125
55,0.0,0,0.0,-0.125
56,0.125,0,0.125,0.0
57,0.0,0,0.0,0.0
58,-0.0,0,-0.0,0.0
59,-0.0,0,-0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,0.0,0,0.0,0.0
64,-0.0,0,-0.0,0.0
65,-0.0,0,-0.0,0.0
66,-0.0,0,-0.0,0.0
67,-0.0,0,-0.0,0.0
68,-0.0,0,-0.0,0.0
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,0.0,0,0.0,0.0
74,-0.0,0,-0.0,0.0
75,0.0,0,0.0,0.0
76,0.0,0,0.0,0.0
77,0.0,0,0.0,0.0
78,0.0,0,0.0,0.0
79,-0.0,0,-0.0,0.0
80,0.0,0,0.0,0.0
81,0.125,0,0.125,0.125
82,0.0,0,0.0,0.125
83,0.0,0,0.0,0.125
84,0.0,0,0.0,0.125
85,0.0,0,0.0,0.125
86,0.0,0,0.0,0.125
87,0.0,0,0.0,0.125
88,0.0,0,0.0,0.125
89,0.0,0,0.0,0.125
90,0.0,0,0.0,0.125
91,0.0,0,0.0,0.125
92,0.0,0,0.0,0.125
93,0.0,0,0.0,0.125
94,0.125,0,0.125,0.25
95,-0.125,0,-0.125,0.125
96,0.0,0,0.0,0.125
97,0.0,0,0.0,0.125
98,0.0,0,0.0,0.125
99,0.0,0,0.0,0.125
100,0.125,0,0.125,0.25
101,-0.125,0,-0.125,0.125
102,0.0,0,0.0,0.125
103,0.0,0,0.0,0.125
104,0.0,0,0.0,0.125
105,0.0,0,0.0,0.125
106,0.125,0,0.125,0.25
107,0.0,0,0.0,0.25
108,0.125,0,0.125,0.375
109,0.0,0,0.0,0.375
110,0.0,0,0.0,0.375
111,0.0,0,0.0,0.375
112,0.0,0,0.0,0.375
113,0.0,0,0.0,0.375
114,0.0,0,0.0,0.375
115,0.125,0,0.125,0.5
116,-0.125,0,-0.125,0.375
117,0.0,0,0.0,0.375
118,-0.125,0,-0.125,0.25
119,0.125,0,0.125,0.375
120,0.0,0,0.0,0.375
121,0.125,0,0.125,0.5
122,0.125,0,0.125,0.625
123,-0.125,0,-0.125,0.5
124,0.0,0,0.0,0.5
125,0.125,0,0.125,0.625
126,-0.125,0,-0.125,0.5
127,-0.125,0,-0.125,0.375
128,0.0,0,0.0,0.375
129,0.125,0,0.125,0.5
130,-0.125,0,-0.125,0.375
131,-0.125,0,-0.125,0.25
132,0.25,0,0.125,0.375
133,-0.125,0,-0.125,0.25
134,0.25,0.125,0.125,0.375
135,-0.125,0,-0.125,0.25
136,-0.125,0,-0.125,0.125
137,0.0,0.125,0.125,0.25
138,-0.125,0.125,0.125,0.375
139,-0.125,0.125,0.125,0.5
140,-0.375,0.125,0.125,0.625
141,-0.375,0.125,0.125,0.75
142,-0.625,0.125,0.125,0.875
143,-0.75,0,-0.125,0.75
144,-0.5,0,-0.125,0.625
145,-0.5,0,-0.125,0.5
146,-0.5,0,-0.125,0.375
147,-0.25,0.125,0.125,0.5
148,-0.5,0,-0.125,0.375
149,-0.25,0,-0.125,0.25
150,-0.25,0,-0.125,0.125
151,-0.125,0,-0.125,0.0
152,0.0,0,0.0,0.0
153,0.0,0,0.0,0.0
154,0.0,0,0.0,0.0
155,0.125,0,0.125,0.125
156,0.0,0.125,0.125,0.25
157,-0.125,0,-0.125,0.125
158,-0.125,0,-0.125,0.0
159,0.125,0,0.125,0.125
160,-0.125,0.125,0.125,0.25
161,-0.125,0,-0.125,0.125
162,-0.125,0,-0.125,0.0
163,0.125,0,0.125,0.125
164,-0.125,0.125,0.125,0.25
165,-0.125,0,-0.125,0.125
166,0.0,0,0.0,0.125
167,-0.125,0,-0.125,0.0
168,0.125,0.125,0.125,0.125
169,0.0,0,0.0,0.125
170,0.0,0,0.0,0.125
171,0.0,0,0.0,0.125
172,-0.125,0,-0.125,0.0
173,0.0,0.125,0.0,0.0
174,0.125,0.125,0.125,0.125
175,0.0,0.125,0.125,0.25
176,-0.125,0.125,0.125,0.375
177,-0.25,0.125,0.125,0.5
178,-0.375,0.125,0.125,0.625
179,-0.625,0.125,0.125,0.75
180,-0.625,0.125,-0.125,0.625
181,-0.375,-0.125,-0.125,0.5
182,-0.25,0,-0.125,0.375
183,-0.25,0,-0.125,0.25
184,-0.125,0,-0.125,0.125
