ts_micro,frame,wheel
1503543899037,1,0.0
1503543899103,2,0.0
1503543899139,3,0.0
1503543899187,4,0.0
1503543899237,5,0.0
1503543899287,6,0.0
1503543899337,7,0.0
1503543899387,8,0.0
1503543899437,9,0.0
1503543899487,10,0.0
1503543899537,11,0.0
1503543899587,12,0.0
1503543899637,13,0.0
1503543899687,14,0.0
1503543899751,15,0.0
1503543899808,16,0.0
1503543899845,17,0.0
1503543899887,18,0.0
1503543899937,19,0.0
1503543899987,20,0.0
1503543900037,21,0.0
1503543900087,22,0.0
1503543900137,23,0.0
1503543900187,24,0.0
1503543900237,25,0.0
1503543900287,26,0.0
1503543900337,27,0.0
1503543900387,28,0.0
1503543900437,29,0.0
1503543900487,30,0.0
1503543900537,31,0.0
1503543900587,32,0.0
1503543900637,33,0.0
1503543900687,34,0.0
1503543900737,35,0.0
1503543900787,36,0.0
1503543900837,37,0.0
1503543900887,38,0.0
1503543900937,39,0.0
1503543900987,40,0.0
1503543901037,41,0.0
1503543901087,42,0.0
1503543901137,43,0.0
1503543901187,44,0.0
1503543901237,45,0.0
1503543901287,46,0.0
1503543901337,47,0.0
1503543901387,48,0.0
1503543901437,49,0.0
1503543901487,50,0.0
1503543901537,51,0.0
1503543901587,52,0.0
1503543901637,53,0.0
1503543901687,54,0.0
1503543901737,55,0.0
1503543901787,56,0.0
1503543901837,57,0.0
1503543901887,58,0.0
1503543901937,59,0.0
1503543901987,60,0.0
1503543902037,61,0.0
1503543902087,62,0.0
1503543902137,63,0.0
1503543902187,64,0.0
1503543902237,65,0.0
1503543902287,66,0.0
1503543902337,67,0.0
1503543902387,68,0.0
1503543902437,69,0.0
1503543902487,70,0.0
1503543902537,71,0.0
1503543902587,72,0.0
1503543902637,73,0.0
1503543902687,74,0.523598775598
1503543902737,75,0.523598775598
1503543902787,76,0.523598775598
1503543902837,77,0.523598775598
1503543902887,78,0.523598775598
1503543902937,79,0.523598775598
1503543902987,80,0.523598775598
1503543903037,81,0.523598775598
1503543903087,82,0.523598775598
1503543903137,83,0.523598775598
1503543903187,84,0.523598775598
1503543903237,85,0.0
1503543903287,86,0.0
1503543903337,87,0.0
1503543903387,88,0.0
1503543903437,89,0.0
1503543903487,90,0.0
1503543903537,91,0.0
1503543903587,92,0.0
1503543903637,93,0.0
1503543903687,94,0.0
1503543903737,95,0.0
1503543903787,96,0.0
1503543903837,97,0.0
1503543903887,98,0.0
1503543903937,99,0.0
1503543903987,100,0.0
1503543904037,101,0.0
1503543904087,102,0.0
1503543904137,103,0.0
1503543904187,104,0.0
1503543904237,105,0.0
1503543904287,106,0.0
1503543904337,107,0.0
1503543904387,108,0.0
1503543904437,109,0.0
1503543904487,110,0.0
1503543904537,111,0.0
1503543904587,112,0.0
1503543904637,113,0.0
1503543904687,114,0.0
1503543904737,115,0.523598775598
1503543904787,116,0.523598775598
1503543904837,117,0.523598775598
1503543904887,118,0.523598775598
1503543904937,119,0.523598775598
1503543904987,120,0.523598775598
1503543905037,121,0.0
1503543905087,122,0.0
1503543905137,123,0.0
1503543905187,124,0.0
1503543905237,125,0.0
1503543905287,126,0.0
1503543905337,127,0.0
1503543905387,128,0.0
1503543905437,129,0.0
1503543905487,130,0.0
1503543905537,131,0.0
1503543905587,132,0.0
1503543905637,133,0.0
1503543905687,134,0.0
1503543905737,135,0.0
1503543905787,136,0.0
1503543905837,137,0.0
1503543905887,138,0.0
1503543905937,139,0.0
1503543905987,140,0.0
1503543906037,141,0.0
1503543906087,142,0.0
1503543906137,143,0.0
1503543906187,144,0.0
1503543906237,145,0.0
1503543906287,146,0.0
1503543906337,147,0.0
1503543906387,148,0.0
1503543906437,149,0.0
1503543906487,150,0.0
1503543906537,151,0.0
1503543906587,152,0.0
1503543906637,153,0.0
1503543906687,154,0.523598775598
1503543906737,155,0.523598775598
1503543906787,156,0.523598775598
1503543906837,157,0.523598775598
1503543906887,158,0.523598775598
1503543906937,159,0.523598775598
1503543906987,160,0.523598775598
1503543907037,161,0.523598775598
1503543907087,162,0.523598775598
1503543907137,163,0.523598775598
1503543907187,164,0.523598775598
1503543907237,165,0.523598775598
1503543907287,166,0.523598775598
1503543907337,167,0.0
1503543907387,168,0.0
1503543907437,169,0.0
1503543907487,170,0.0
1503543907537,171,0.0
1503543907587,172,0.0
1503543907637,173,0.0
1503543907687,174,0.0
1503543907737,175,0.0
1503543907787,176,0.0
1503543907837,177,0.0
1503543907887,178,0.0
1503543907937,179,0.0
1503543907987,180,0.0
1503543908037,181,0.0
1503543908087,182,0.0
1503543908137,183,0.0
1503543908187,184,0.0
1503543908237,185,0.0
1503543908287,186,0.0
1503543908337,187,0.0
1503543908387,188,0.0
1503543908437,189,0.0
1503543908487,190,0.0
1503543908537,191,0.0
1503543908587,192,0.0
1503543908637,193,0.0
1503543908687,194,0.0
1503543908737,195,0.0
1503543908787,196,0.0
1503543908837,197,0.523598775598
1503543908887,198,0.523598775598
1503543908937,199,0.523598775598
1503543908987,200,0.523598775598
