ts_micro,frame,btn,speed
1503701325233,1,107,240
1503701325347,2,107,240
1503701325383,3,107,240
1503701325419,4,107,240
1503701325453,5,107,240
1503701325486,6,107,240
1503701325532,7,107,240
1503701325582,8,107,240
1503701325632,9,107,240
1503701325682,10,107,240
1503701325732,11,107,240
1503701325782,12,107,240
1503701325832,13,107,240
1503701325882,14,107,240
1503701325932,15,107,240
1503701325982,16,107,240
1503701326032,17,107,240
1503701326082,18,107,240
1503701326132,19,107,240
1503701326182,20,107,240
1503701326232,21,107,240
1503701326282,22,107,240
1503701326332,23,107,240
1503701326382,24,107,240
1503701326432,25,107,240
1503701326482,26,107,240
1503701326534,27,107,240
1503701326582,28,107,240
1503701326632,29,107,240
1503701326682,30,107,240
1503701326732,31,107,240
1503701326782,32,107,240
1503701326832,33,107,240
1503701326882,34,107,240
1503701326932,35,107,240
1503701326982,36,107,240
1503701327032,37,107,240
1503701327082,38,107,240
1503701327132,39,107,240
1503701327182,40,107,240
1503701327232,41,107,240
1503701327282,42,107,240
1503701327332,43,106,240
1503701327382,44,106,240
1503701327432,45,106,240
1503701327482,46,106,240
1503701327532,47,106,240
1503701327582,48,106,240
1503701327632,49,106,240
1503701327682,50,106,240
1503701327732,51,106,240
1503701327782,52,106,240
1503701327836,53,106,240
1503701327882,54,106,240
1503701327932,55,106,240
1503701327982,56,106,240
1503701328032,57,106,240
1503701328082,58,106,240
1503701328132,59,106,240
1503701328182,60,106,240
1503701328235,61,106,240
1503701328282,62,106,240
1503701328336,63,106,240
1503701328382,64,106,240
1503701328432,65,106,240
1503701328482,66,106,240
1503701328534,67,107,240
1503701328582,68,107,240
1503701328636,69,107,240
1503701328684,70,107,240
1503701328733,71,107,240
1503701328782,72,107,240
1503701328833,73,107,240
1503701328882,74,107,240
1503701328932,75,107,240
1503701328982,76,107,240
1503701329032,77,107,240
1503701329082,78,107,240
1503701329132,79,107,240
1503701329182,80,107,240
1503701329232,81,107,240
1503701329282,82,107,240
1503701329332,83,107,240
1503701329382,84,107,240
1503701329432,85,107,240
1503701329482,86,107,240
1503701329532,87,107,240
1503701329582,88,106,240
1503701329632,89,106,240
1503701329682,90,106,240
1503701329732,91,106,240
1503701329782,92,106,240
1503701329832,93,106,240
1503701329882,94,106,240
1503701329932,95,106,240
1503701329982,96,106,240
1503701330032,97,106,240
1503701330082,98,106,240
1503701330133,99,107,240
1503701330186,100,107,240
1503701330266,101,107,240
1503701330342,102,107,240
1503701330440,103,107,240
1503701330526,104,107,240
1503701330614,105,107,240
1503701330692,106,107,240
1503701330783,107,107,240
1503701330861,108,107,240
1503701330943,109,107,240
1503701331000,110,107,240
1503701331081,111,107,240
1503701331164,112,107,240
1503701331242,113,107,240
1503701331324,114,107,240
1503701331405,115,107,240
1503701331484,116,107,240
1503701331561,117,107,240
1503701331648,118,107,240
1503701331733,119,107,240
1503701331812,120,107,240
1503701331886,121,106,240
1503701331943,122,106,240
1503701332021,123,106,240
1503701332105,124,106,240
1503701332186,125,106,240
1503701332268,126,106,240
1503701332349,127,107,240
1503701332419,128,107,240
1503701332510,129,107,240
1503701332591,130,107,240
1503701332696,131,107,240
