processing and loading "train" epoch 401 into memory, current num of imgs is 0..                                                                                                                                                             .
DBG: /home/pi/Documents/picar/epochs/out-video-401.avi
DBG: 400
DBG: /home/pi/Documents/picar/epochs/out-key-401.csv
400 400
processing and loading "val" epoch 401 into memory, current num of imgs is 0...
DBG: /home/pi/Documents/picar/epochs/out-video-401.avi
DBG: 400
DBG: /home/pi/Documents/picar/epochs/out-key-401.csv
400 400
---< train >---
# center imgs: 320
# curve imgs: 80
---< val >---
# center imgs: 320
# curve imgs: 80
step 10 of 2000, train loss 0.0756163746119, val loss 0.0757551938295
step 20 of 2000, train loss 0.0813048183918, val loss 0.081610314548
step 30 of 2000, train loss 0.0751186832786, val loss 0.0754177942872
step 40 of 2000, train loss 0.0742570087314, val loss 0.0749115496874
step 50 of 2000, train loss 0.0717965587974, val loss 0.0708577185869
step 60 of 2000, train loss 0.0753064900637, val loss 0.0756408274174
step 70 of 2000, train loss 0.0753245279193, val loss 0.0746355950832
step 80 of 2000, train loss 0.0723373442888, val loss 0.0725234001875
step 90 of 2000, train loss 0.0727229043841, val loss 0.0722153186798
step 100 of 2000, train loss 0.0724297463894, val loss 0.0723563209176
Model saved. Time passed: 00 hours 12 mins 08 secs 000 msecs. Time left: 03 hours 52 mins 53 secs 000 msecs
step 110 of 2000, train loss 0.0657496824861, val loss 0.064632602036
step 120 of 2000, train loss 0.0720409229398, val loss 0.0718786790967
step 130 of 2000, train loss 0.0620391853154, val loss 0.0632152110338
step 140 of 2000, train loss 0.069485142827, val loss 0.0696638897061
step 150 of 2000, train loss 0.0586832016706, val loss 0.059080068022
step 160 of 2000, train loss 0.0520394220948, val loss 0.0500259771943
step 170 of 2000, train loss 0.0505757331848, val loss 0.0532068870962
step 180 of 2000, train loss 0.0481099374592, val loss 0.0428164303303
step 190 of 2000, train loss 0.0407876223326, val loss 0.041904296726
step 200 of 2000, train loss 0.0426114946604, val loss 0.0418444499373
Model saved. Time passed: 00 hours 24 mins 46 secs 000 msecs. Time left: 03 hours 44 mins 09 secs 000 msecs
step 210 of 2000, train loss 0.0355277433991, val loss 0.0399875901639
step 220 of 2000, train loss 0.0336472354829, val loss 0.0325761921704
step 230 of 2000, train loss 0.0368225723505, val loss 0.0349693335593
step 240 of 2000, train loss 0.0295624062419, val loss 0.0279945824295
step 250 of 2000, train loss 0.041350774467, val loss 0.0377165041864
step 260 of 2000, train loss 0.0323426164687, val loss 0.0281868390739
step 270 of 2000, train loss 0.0269073173404, val loss 0.0332753881812
step 280 of 2000, train loss 0.0360160730779, val loss 0.032098647207
step 290 of 2000, train loss 0.0289471000433, val loss 0.0252493266016
step 300 of 2000, train loss 0.0314224027097, val loss 0.0308372825384
Model saved. Time passed: 00 hours 37 mins 32 secs 000 msecs. Time left: 03 hours 33 mins 30 secs 000 msecs
step 310 of 2000, train loss 0.0269355755299, val loss 0.0303724147379
step 320 of 2000, train loss 0.0179230812937, val loss 0.0241702031344
step 330 of 2000, train loss 0.0245999470353, val loss 0.0196350794286
step 340 of 2000, train loss 0.0272491592914, val loss 0.0252764318138
step 350 of 2000, train loss 0.0149033479393, val loss 0.0157969947904
step 360 of 2000, train loss 0.014411685057, val loss 0.0142347551882
step 370 of 2000, train loss 0.0180232562125, val loss 0.0148837016895
step 380 of 2000, train loss 0.0129268979654, val loss 0.0120416227728
step 390 of 2000, train loss 0.00904403906316, val loss 0.0112425806001
step 400 of 2000, train loss 0.0213918108493, val loss 0.0200079027563
Model saved. Time passed: 00 hours 50 mins 19 secs 000 msecs. Time left: 03 hours 21 mins 55 secs 000 msecs
step 410 of 2000, train loss 0.0109695978463, val loss 0.0111333252862
step 420 of 2000, train loss 0.00965831242502, val loss 0.012930015102
step 430 of 2000, train loss 0.00871543306857, val loss 0.0117105729878
step 440 of 2000, train loss 0.0102617628872, val loss 0.00728502031416
step 450 of 2000, train loss 0.0136994859204, val loss 0.0151155628264
step 460 of 2000, train loss 0.0086979912594, val loss 0.00523323658854
step 470 of 2000, train loss 0.0140959238634, val loss 0.0107272565365
step 480 of 2000, train loss 0.00696206465364, val loss 0.00865343213081
step 490 of 2000, train loss 0.00708456756547, val loss 0.0089345369488
step 500 of 2000, train loss 0.00627365708351, val loss 0.00842347182333
Model saved. Time passed: 01 hours 03 mins 03 secs 000 msecs. Time left: 03 hours 09 mins 40 secs 000 msecs
step 510 of 2000, train loss 0.00600861897692, val loss 0.00682754768059
step 520 of 2000, train loss 0.00510117411613, val loss 0.0137089537457
step 530 of 2000, train loss 0.00668342364952, val loss 0.00711714755744
step 540 of 2000, train loss 0.00436542509124, val loss 0.0119524560869
step 550 of 2000, train loss 0.00497728073969, val loss 0.00522014638409
step 560 of 2000, train loss 0.0079117519781, val loss 0.00358466780744
step 570 of 2000, train loss 0.00621451390907, val loss 0.00727752782404
step 580 of 2000, train loss 0.00448290305212, val loss 0.00666206236929
step 590 of 2000, train loss 0.00414525624365, val loss 0.00622775778174
step 600 of 2000, train loss 0.00374508625828, val loss 0.00619925139472
Model saved. Time passed: 01 hours 15 mins 47 secs 000 msecs. Time left: 02 hours 57 mins 15 secs 000 msecs
step 610 of 2000, train loss 0.003725099843, val loss 0.00460631446913
step 620 of 2000, train loss 0.00339535693638, val loss 0.00478690909222
step 630 of 2000, train loss 0.0036247309763, val loss 0.00507716229185
step 640 of 2000, train loss 0.00473673734814, val loss 0.00546451099217
step 650 of 2000, train loss 0.00485616317019, val loss 0.0062168254517
step 660 of 2000, train loss 0.00774292461574, val loss 0.0112103736028
step 670 of 2000, train loss 0.00407183356583, val loss 0.00403465796262
step 680 of 2000, train loss 0.00520775327459, val loss 0.00644595362246
step 690 of 2000, train loss 0.00161344255321, val loss 0.00232053687796
step 700 of 2000, train loss 0.00162323564291, val loss 0.00373401469551
Model saved. Time passed: 01 hours 28 mins 35 secs 000 msecs. Time left: 02 hours 44 mins 53 secs 000 msecs
step 710 of 2000, train loss 0.00249510118738, val loss 0.0047136535868
step 720 of 2000, train loss 0.00183528836351, val loss 0.00174144224729
step 730 of 2000, train loss 0.00181135023013, val loss 0.00344360852614
