---------- processing video for epoch 6 ----------
performing inference...
pred: 2.42 deg. took: 346.16 ms | cam=55.42 prep=13.13 pred=277.61 frequency(45)=1200126000
 
pred: 2.44 deg. took: 62.05 ms | cam=1.90 prep=4.99 pred=55.16 frequency(45)=1200000000
 
pred: 2.39 deg. took: 61.37 ms | cam=1.94 prep=3.01 pred=56.42 frequency(45)=1200000000
 
pred: 2.35 deg. took: 61.21 ms | cam=1.86 prep=3.01 pred=56.34 frequency(45)=1200000000
 
pred: 2.31 deg. took: 61.25 ms | cam=1.90 prep=3.05 pred=56.31 frequency(45)=1200002000
 
pred: 2.27 deg. took: 61.15 ms | cam=1.86 prep=3.05 pred=56.24 frequency(45)=1200002000
 
pred: 2.26 deg. took: 61.10 ms | cam=1.86 prep=3.11 pred=56.13 frequency(45)=1200000000
 
pred: 2.28 deg. took: 61.09 ms | cam=1.88 prep=3.01 pred=56.21 frequency(45)=1200000000
 
pred: 2.29 deg. took: 61.14 ms | cam=1.90 prep=3.05 pred=56.19 frequency(45)=1199998000
 
pred: 2.29 deg. took: 62.73 ms | cam=1.90 prep=3.01 pred=57.82 frequency(45)=1200000000
 
pred: 2.29 deg. took: 61.74 ms | cam=1.91 prep=3.01 pred=56.82 frequency(45)=1200000000
 
pred: 2.33 deg. took: 61.67 ms | cam=1.86 prep=3.07 pred=56.74 frequency(45)=1200000000
 
pred: 2.35 deg. took: 61.30 ms | cam=1.85 prep=3.10 pred=56.34 frequency(45)=1200000000
 
pred: 2.39 deg. took: 61.31 ms | cam=1.87 prep=3.09 pred=56.35 frequency(45)=1200000000
 
pred: 2.43 deg. took: 61.38 ms | cam=1.91 prep=3.15 pred=56.31 frequency(45)=1200000000
 
pred: 2.42 deg. took: 61.18 ms | cam=1.92 prep=3.10 pred=56.16 frequency(45)=1200000000
 
pred: 2.44 deg. took: 61.18 ms | cam=1.90 prep=3.11 pred=56.16 frequency(45)=1200000000
 
pred: 2.43 deg. took: 61.15 ms | cam=1.86 prep=3.15 pred=56.14 frequency(45)=1200000000
 
pred: 2.42 deg. took: 61.42 ms | cam=1.88 prep=3.10 pred=56.44 frequency(45)=1200000000
 
pred: 2.44 deg. took: 61.69 ms | cam=2.02 prep=3.02 pred=56.65 frequency(45)=1200000000
 
pred: 2.35 deg. took: 61.57 ms | cam=1.98 prep=3.05 pred=56.55 frequency(45)=1200000000
 
pred: 2.50 deg. took: 62.89 ms | cam=1.99 prep=3.03 pred=57.88 frequency(45)=1200002000
 
pred: 2.32 deg. took: 61.61 ms | cam=1.86 prep=3.03 pred=56.72 frequency(45)=1200000000
 
pred: 2.53 deg. took: 61.46 ms | cam=1.92 prep=3.07 pred=56.47 frequency(45)=1200000000
 
pred: 2.40 deg. took: 61.26 ms | cam=1.95 prep=3.01 pred=56.30 frequency(45)=1200002000
 
pred: 2.46 deg. took: 61.31 ms | cam=1.92 prep=3.00 pred=56.39 frequency(45)=1200000000
 
pred: 2.38 deg. took: 61.21 ms | cam=1.88 prep=3.05 pred=56.28 frequency(45)=1200000000
 
pred: 2.36 deg. took: 61.29 ms | cam=1.89 prep=3.01 pred=56.39 frequency(45)=1200002000
 
pred: 2.41 deg. took: 61.27 ms | cam=1.91 prep=3.01 pred=56.34 frequency(45)=1200000000
 
pred: 2.38 deg. took: 61.70 ms | cam=1.90 prep=3.05 pred=56.75 frequency(45)=1200002000
 
pred: 2.42 deg. took: 61.84 ms | cam=1.94 prep=3.11 pred=56.79 frequency(45)=1200002000
 
pred: 2.42 deg. took: 61.75 ms | cam=1.92 prep=3.10 pred=56.74 frequency(45)=1199998000
 
pred: 2.54 deg. took: 62.02 ms | cam=1.89 prep=3.14 pred=56.98 frequency(45)=1200000000
 
pred: 2.75 deg. took: 63.12 ms | cam=2.05 prep=3.02 pred=58.05 frequency(45)=1200000000
 
