---------- processing video for epoch 6 ----------
performing inference...
pred: 1.80890559224 deg. took 204.795837402 ms
pred: 1.80583286089 deg. took 70.0550079346 ms
pred: 1.81532511629 deg. took 62.2351169586 ms
pred: 1.77102867147 deg. took 59.180021286 ms
pred: 1.66277817726 deg. took 58.4969520569 ms
pred: 1.73614476095 deg. took 74.7017860413 ms
pred: 1.77952499992 deg. took 74.5360851288 ms
pred: 1.68895701169 deg. took 76.1690139771 ms
pred: 1.66670820407 deg. took 69.0190792084 ms
pred: 1.72119176931 deg. took 75.0498771667 ms
pred: 1.81412342988 deg. took 71.5079307556 ms
pred: 1.81213114907 deg. took 67.8629875183 ms
pred: 1.73854589261 deg. took 80.5180072784 ms
pred: 1.83794456838 deg. took 98.1640815735 ms
pred: 1.73862443978 deg. took 72.9649066925 ms
pred: 1.84733693226 deg. took 79.931974411 ms
pred: 1.81718676972 deg. took 75.0970840454 ms
pred: 1.7812271044 deg. took 73.9421844482 ms
pred: 1.85829575734 deg. took 73.1198787689 ms
pred: 1.82789309124 deg. took 75.7319927216 ms
pred: 1.73692148152 deg. took 73.5239982605 ms
pred: 1.76004060465 deg. took 76.5130519867 ms
pred: 1.80929918189 deg. took 69.769859314 ms
pred: 1.75257776921 deg. took 69.0200328827 ms
pred: 1.79054711097 deg. took 71.631193161 ms
pred: 1.70333648088 deg. took 68.9699649811 ms
pred: 1.67321854829 deg. took 68.8819885254 ms
pred: 1.63772429633 deg. took 69.2000389099 ms
pred: 1.64478447078 deg. took 75.5589008331 ms
pred: 1.68516711047 deg. took 72.4031925201 ms
pred: 1.70002543996 deg. took 68.0370330811 ms
pred: 1.7579340249 deg. took 73.6010074615 ms
pred: 1.678008005 deg. took 75.4678249359 ms
pred: 1.66169505867 deg. took 74.7349262238 ms
pred: 1.78127064686 deg. took 74.4669437408 ms
pred: 1.67237939552 deg. took 75.8368968964 ms
pred: 3.27531476364 deg. took 84.095954895 ms
pred: 3.42476293122 deg. took 75.8011341095 ms
pred: 1.0957031088 deg. took 75.4790306091 ms
pred: 0.747654331138 deg. took 71.9888210297 ms
pred: 1.12943335769 deg. took 69.0469741821 ms
pred: 0.662690886649 deg. took 69.2319869995 ms
pred: 1.33933659682 deg. took 73.4369754791 ms
pred: 2.00132376055 deg. took 71.3088512421 ms
pred: 4.7072067203 deg. took 67.7700042725 ms
pred: 13.8124234736 deg. took 67.3158168793 ms
pred: 13.1525085252 deg. took 68.0100917816 ms
pred: 7.24882939349 deg. took 73.7681388855 ms
pred: 0.237071250377 deg. took 74.4590759277 ms
pred: 4.19574636044 deg. took 74.7849941254 ms
pred: 7.1898379034 deg. took 66.9128894806 ms
pred: 0.696346270258 deg. took 69.363117218 ms
pred: 2.9715179812 deg. took 67.7728652954 ms
pred: 4.42966881357 deg. took 70.1811313629 ms
pred: -0.560035171136 deg. took 67.4040317535 ms
pred: -0.444013869315 deg. took 72.9191303253 ms
pred: 2.06841414744 deg. took 73.5409259796 ms
pred: -0.340450619097 deg. took 63.7810230255 ms
pred: -0.35161362948 deg. took 41.7671203613 ms
pred: -0.168324769391 deg. took 58.8581562042 ms
pred: -0.444885545528 deg. took 75.4849910736 ms
pred: -0.0509984578765 deg. took 73.7209320068 ms
pred: -0.0680927104867 deg. took 82.2060108185 ms
pred: 0.0887932929735 deg. took 68.9799785614 ms
pred: -0.669248455222 deg. took 68.7010288239 ms
pred: 0.30743289768 deg. took 68.2981014252 ms
pred: -0.319029625075 deg. took 75.0911235809 ms
pred: -0.844000606045 deg. took 71.5589523315 ms
pred: -0.103434650563 deg. took 74.9578475952 ms
pred: -0.71948780494 deg. took 75.856924057 ms
pred: -2.03938413592 deg. took 73.5001564026 ms
pred: -2.36025553752 deg. took 74.9268531799 ms
pred: -2.41509512636 deg. took 74.3350982666 ms
pred: -2.51793408304 deg. took 67.3007965088 ms
pred: -4.10119989374 deg. took 75.3772258759 ms
pred: -6.55360492844 deg. took 73.1348991394 ms
pred: -3.78771256697 deg. took 72.958946228 ms
pred: -5.14911099498 deg. took 70.3730583191 ms
pred: -5.45831963512 deg. took 70.8289146423 ms
pred: -4.71196693527 deg. took 73.0509757996 ms
pred: -5.22083822655 deg. took 74.588060379 ms
pred: -6.22071346113 deg. took 76.6818523407 ms
pred: -4.98955137266 deg. took 70.4159736633 ms
pred: -6.79627941522 deg. took 69.5660114288 ms
pred: -8.74963198246 deg. took 73.2069015503 ms
pred: -9.82451251252 deg. took 71.5429782867 ms
pred: -10.4950782871 deg. took 68.9120292664 ms
pred: -6.94474979853 deg. took 78.0050754547 ms
pred: -5.64743988927 deg. took 74.8748779297 ms
pred: -3.30962344417 deg. took 76.5578746796 ms
pred: -0.127409441643 deg. took 70.0249671936 ms
pred: 0.352293206622 deg. took 69.0989494324 ms
pred: -0.447730265956 deg. took 66.8370723724 ms
pred: -0.356082227384 deg. took 68.5679912567 ms
pred: 14.1711859899 deg. took 72.5610256195 ms
pred: 28.5744003362 deg. took 74.4478702545 ms
