---------- processing video for epoch 6 ----------
performing inference...
pred: 1.80890559224 deg. took 166.438102722 ms
pred: 1.80583286089 deg. took 73.4679698944 ms
pred: 1.81532511629 deg. took 61.6140365601 ms
pred: 1.77102867147 deg. took 58.99310112 ms
pred: 1.66277817726 deg. took 57.79504776 ms
pred: 1.73614476095 deg. took 58.2628250122 ms
pred: 1.77952499992 deg. took 59.0109825134 ms
pred: 1.68895701169 deg. took 63.3718967438 ms
pred: 1.66670820407 deg. took 59.5641136169 ms
pred: 1.72119176931 deg. took 59.6089363098 ms
pred: 1.81412342988 deg. took 60.3442192078 ms
pred: 1.81213114907 deg. took 58.9048862457 ms
pred: 1.73854589261 deg. took 56.9221973419 ms
pred: 1.83794456838 deg. took 52.806854248 ms
pred: 1.73862443978 deg. took 59.2260360718 ms
pred: 1.84733693226 deg. took 57.2369098663 ms
pred: 1.81718676972 deg. took 59.1111183167 ms
pred: 1.7812271044 deg. took 59.3481063843 ms
pred: 1.85829575734 deg. took 57.5711727142 ms
pred: 1.82789309124 deg. took 69.4060325623 ms
pred: 1.73692148152 deg. took 70.3589916229 ms
pred: 1.76004060465 deg. took 61.9330406189 ms
pred: 1.80929918189 deg. took 62.0629787445 ms
pred: 1.75257776921 deg. took 58.6531162262 ms
pred: 1.79054711097 deg. took 55.1631450653 ms
pred: 1.70333648088 deg. took 60.4889392853 ms
pred: 1.67321854829 deg. took 66.5171146393 ms
pred: 1.63772429633 deg. took 51.4721870422 ms
pred: 1.64478447078 deg. took 52.7219772339 ms
pred: 1.68516711047 deg. took 58.189868927 ms
pred: 1.70002543996 deg. took 55.1681518555 ms
pred: 1.7579340249 deg. took 52.1049499512 ms
pred: 1.678008005 deg. took 53.8060665131 ms
pred: 1.66169505867 deg. took 61.0618591309 ms
pred: 1.78127064686 deg. took 60.5669021606 ms
pred: 1.67237939552 deg. took 64.465045929 ms
pred: 3.27531476364 deg. took 62.7880096436 ms
pred: 3.42476293122 deg. took 69.1130161285 ms
pred: 1.0957031088 deg. took 56.587934494 ms
pred: 0.747654331138 deg. took 51.2580871582 ms
pred: 1.12943335769 deg. took 53.1849861145 ms
pred: 0.662690886649 deg. took 54.3370246887 ms
pred: 1.33933659682 deg. took 53.3928871155 ms
pred: 2.00132376055 deg. took 50.2691268921 ms
pred: 4.7072067203 deg. took 56.9558143616 ms
pred: 13.8124234736 deg. took 58.5980415344 ms
pred: 13.1525085252 deg. took 56.4279556274 ms
pred: 7.24882939349 deg. took 54.9969673157 ms
pred: 0.237071250377 deg. took 55.0169944763 ms
pred: 4.19574636044 deg. took 62.9558563232 ms
pred: 7.1898379034 deg. took 67.2268867493 ms
pred: 0.696346270258 deg. took 73.9040374756 ms
pred: 2.9715179812 deg. took 58.5939884186 ms
pred: 4.42966881357 deg. took 59.6461296082 ms
pred: -0.560035171136 deg. took 57.7909946442 ms
pred: -0.444013869315 deg. took 68.6309337616 ms
pred: 2.06841414744 deg. took 68.1478977203 ms
pred: -0.340450619097 deg. took 60.7869625092 ms
pred: -0.35161362948 deg. took 72.940826416 ms
pred: -0.168324769391 deg. took 61.7120265961 ms
pred: -0.444885545528 deg. took 61.0868930817 ms
pred: -0.0509984578765 deg. took 58.6678981781 ms
pred: -0.0680927104867 deg. took 53.3468723297 ms
pred: 0.0887932929735 deg. took 62.0760917664 ms
pred: -0.669248455222 deg. took 58.9559078217 ms
pred: 0.30743289768 deg. took 54.8059940338 ms
pred: -0.319029625075 deg. took 58.2640171051 ms
pred: -0.844000606045 deg. took 54.7201633453 ms
pred: -0.103434650563 deg. took 58.5610866547 ms
pred: -0.71948780494 deg. took 54.6751022339 ms
pred: -2.03938413592 deg. took 52.2840023041 ms
pred: -2.36025553752 deg. took 57.8470230103 ms
pred: -2.41509512636 deg. took 54.2058944702 ms
pred: -2.51793408304 deg. took 53.7011623383 ms
pred: -4.10119989374 deg. took 53.239107132 ms
pred: -6.55360492844 deg. took 52.2019863129 ms
pred: -3.78771256697 deg. took 58.2990646362 ms
pred: -5.14911099498 deg. took 55.3131103516 ms
pred: -5.45831963512 deg. took 55.3729534149 ms
pred: -4.71196693527 deg. took 51.3849258423 ms
pred: -5.22083822655 deg. took 53.5371303558 ms
pred: -6.22071346113 deg. took 53.4279346466 ms
pred: -4.98955137266 deg. took 50.2941608429 ms
pred: -6.79627941522 deg. took 50.7030487061 ms
pred: -8.74963198246 deg. took 57.685136795 ms
pred: -9.82451251252 deg. took 58.8459968567 ms
pred: -10.4950782871 deg. took 57.0528507233 ms
pred: -6.94474979853 deg. took 57.0659637451 ms
pred: -5.64743988927 deg. took 57.5170516968 ms
pred: -3.30962344417 deg. took 54.9838542938 ms
pred: -0.127409441643 deg. took 61.203956604 ms
pred: 0.352293206622 deg. took 61.0771179199 ms
pred: -0.447730265956 deg. took 55.2780628204 ms
pred: -0.356082227384 deg. took 52.2541999817 ms
pred: 14.1711859899 deg. took 55.8178424835 ms
pred: 28.5744003362 deg. took 56.3530921936 ms
pred: 1.43116699611 deg. took 58.3260059357 ms
pred: -0.256509888714 deg. took 55.2680492401 ms
pred: -1.07878793188 deg. took 53.5180568695 ms
pred: -0.98076735349 deg. took 51.0399341583 ms
pred: -0.714838313745 deg. took 51.9590377808 ms
pred: -0.989410317554 deg. took 58.0809116364 ms
pred: -0.741851498469 deg. took 57.4369430542 ms
pred: -0.460351441686 deg. took 52.6058673859 ms
pred: 0.382410632283 deg. took 60.6141090393 ms
pred: 0.912393211195 deg. took 59.1571331024 ms
pred: 0.211783435471 deg. took 60.7988834381 ms
pred: 0.35640922269 deg. took 51.9888401031 ms
pred: 0.140947717011 deg. took 50.3599643707 ms
pred: 0.384495520846 deg. took 51.8069267273 ms
pred: -0.407795563942 deg. took 52.9267787933 ms
pred: -0.353957211459 deg. took 52.885055542 ms
pred: 0.0608475873246 deg. took 50.8852005005 ms
pred: -1.74866161621 deg. took 56.8089485168 ms
pred: -5.41062442415 deg. took 50.5509376526 ms
pred: -5.01731950673 deg. took 50.8058071136 ms
pred: -7.97627783727 deg. took 50.9541034698 ms
pred: -5.99626234594 deg. took 52.0620346069 ms
pred: -4.12654800641 deg. took 54.3880462646 ms
pred: -6.51073140413 deg. took 52.346944809 ms
pred: 1.15853135093 deg. took 62.1519088745 ms
pred: 1.66449735722 deg. took 59.4251155853 ms
pred: -1.04577026382 deg. took 61.0830783844 ms
pred: 12.0218586468 deg. took 59.2589378357 ms
pred: 24.4976260527 deg. took 57.8980445862 ms
pred: 27.72712903 deg. took 61.3119602203 ms
pred: 29.6404904128 deg. took 59.0507984161 ms
pred: 29.9757229274 deg. took 59.7331523895 ms
pred: 29.4935286475 deg. took 59.8227977753 ms
pred: 28.7581563305 deg. took 63.7309551239 ms
pred: 29.0581621445 deg. took 58.6240291595 ms
pred: 28.7173971766 deg. took 55.7601451874 ms
pred: 28.2759108242 deg. took 55.2129745483 ms
pred: 28.6133631503 deg. took 53.995847702 ms
pred: 29.6235139776 deg. took 57.9650402069 ms
pred: 29.0397821055 deg. took 55.1290512085 ms
pred: 26.3768603952 deg. took 53.7219047546 ms
pred: 29.399705754 deg. took 52.4909496307 ms
pred: 29.6335646009 deg. took 51.1431694031 ms
pred: 25.3181913192 deg. took 57.7490329742 ms
pred: 15.0231547587 deg. took 60.0111484528 ms
pred: 3.16923957795 deg. took 56.5159320831 ms
pred: -0.539031112139 deg. took 51.8229007721 ms
pred: 0.533235856711 deg. took 51.2318611145 ms
pred: -0.201895909554 deg. took 53.9000034332 ms
pred: -0.701790624718 deg. took 50.271987915 ms
pred: -0.758730710177 deg. took 50.4248142242 ms
pred: -0.274533797438 deg. took 50.8980751038 ms
pred: 0.176590992494 deg. took 60.389995575 ms
pred: 0.874038070467 deg. took 68.1109428406 ms
pred: 1.08231711197 deg. took 69.5691108704 ms
pred: 2.9880741463 deg. took 74.0349292755 ms
pred: 17.8195588559 deg. took 51.078081131 ms
pred: 13.1909027261 deg. took 57.8861236572 ms
pred: 5.1135581528 deg. took 50.7090091705 ms
pred: 15.2389597082 deg. took 59.2069625854 ms
pred: 10.6193279659 deg. took 52.2148609161 ms
pred: 26.0027470287 deg. took 54.5918941498 ms
pred: 26.2849106811 deg. took 55.7639598846 ms
pred: 26.746269469 deg. took 55.5667877197 ms
pred: 24.7612884301 deg. took 54.7358989716 ms
pred: 7.01829257975 deg. took 50.7061481476 ms
pred: 1.14070039505 deg. took 55.4709434509 ms
pred: -3.14756589361 deg. took 52.4890422821 ms
pred: -4.32896493133 deg. took 51.2888431549 ms
pred: -3.5625141864 deg. took 50.4429340363 ms
pred: -3.39080088279 deg. took 54.0208816528 ms
pred: -2.15267947189 deg. took 51.5811443329 ms
pred: 1.78824597755 deg. took 57.5611591339 ms
pred: 4.91604316927 deg. took 57.9018592834 ms
pred: 27.5749182644 deg. took 53.5390377045 ms
pred: 29.107247299 deg. took 58.2308769226 ms
pred: 25.373879559 deg. took 60.8699321747 ms
pred: 29.3752809975 deg. took 62.2668266296 ms
pred: 29.15043117 deg. took 58.8140487671 ms
pred: 26.6283103944 deg. took 72.450876236 ms
pred: 25.1040614736 deg. took 68.008184433 ms
pred: -1.99953553164 deg. took 58.6040019989 ms
pred: 6.03438718123 deg. took 60.0030422211 ms
pred: -2.1097308155 deg. took 63.2181167603 ms
