---------- processing video for epoch 6 ----------
performing inference...
pred: 1.80890559224 deg. took 168.367862701 ms
pred: 1.80583286089 deg. took 58.0852031708 ms
pred: 1.81532511629 deg. took 66.4188861847 ms
pred: 1.77102867147 deg. took 58.758020401 ms
pred: 1.66277817726 deg. took 58.6249828339 ms
pred: 1.73614476095 deg. took 59.5080852509 ms
pred: 1.77952499992 deg. took 56.6051006317 ms
pred: 1.68895701169 deg. took 55.9740066528 ms
pred: 1.66670820407 deg. took 63.6789798737 ms
pred: 1.72119176931 deg. took 62.753200531 ms
pred: 1.81412342988 deg. took 60.210943222 ms
pred: 1.81213114907 deg. took 58.8889122009 ms
pred: 1.73854589261 deg. took 52.453994751 ms
pred: 1.83794456838 deg. took 51.0218143463 ms
pred: 1.73862443978 deg. took 51.7749786377 ms
pred: 1.84733693226 deg. took 61.7620944977 ms
pred: 1.81718676972 deg. took 64.3310546875 ms
pred: 1.7812271044 deg. took 60.9319210052 ms
pred: 1.85829575734 deg. took 60.5840682983 ms
pred: 1.82789309124 deg. took 52.6897907257 ms
pred: 1.73692148152 deg. took 58.109998703 ms
pred: 1.76004060465 deg. took 60.546875 ms
pred: 1.80929918189 deg. took 60.1370334625 ms
pred: 1.75257776921 deg. took 62.2129440308 ms
pred: 1.79054711097 deg. took 59.9830150604 ms
pred: 1.70333648088 deg. took 76.3809680939 ms
pred: 1.67321854829 deg. took 63.6439323425 ms
pred: 1.63772429633 deg. took 56.9050312042 ms
pred: 1.64478447078 deg. took 53.3850193024 ms
pred: 1.68516711047 deg. took 54.9399852753 ms
pred: 1.70002543996 deg. took 62.0651245117 ms
pred: 1.7579340249 deg. took 58.5739612579 ms
pred: 1.678008005 deg. took 59.3900680542 ms
pred: 1.66169505867 deg. took 54.7029972076 ms
pred: 1.78127064686 deg. took 62.09897995 ms
pred: 1.67237939552 deg. took 58.8638782501 ms
pred: 3.27531476364 deg. took 59.846162796 ms
pred: 3.42476293122 deg. took 55.734872818 ms
pred: 1.0957031088 deg. took 57.3890209198 ms
pred: 0.747654331138 deg. took 58.2602024078 ms
pred: 1.12943335769 deg. took 52.4280071259 ms
pred: 0.662690886649 deg. took 51.4290332794 ms
pred: 1.33933659682 deg. took 50.7509708405 ms
pred: 2.00132376055 deg. took 51.1920452118 ms
pred: 4.7072067203 deg. took 57.195186615 ms
pred: 13.8124234736 deg. took 62.264919281 ms
pred: 13.1525085252 deg. took 59.7469806671 ms
pred: 7.24882939349 deg. took 58.9179992676 ms
pred: 0.237071250377 deg. took 58.3009719849 ms
pred: 4.19574636044 deg. took 53.7519454956 ms
pred: 7.1898379034 deg. took 59.6220493317 ms
pred: 0.696346270258 deg. took 61.4290237427 ms
pred: 2.9715179812 deg. took 62.3850822449 ms
pred: 4.42966881357 deg. took 59.7441196442 ms
pred: -0.560035171136 deg. took 59.1099262238 ms
pred: -0.444013869315 deg. took 51.7461299896 ms
pred: 2.06841414744 deg. took 57.7621459961 ms
pred: -0.340450619097 deg. took 54.1269779205 ms
pred: -0.35161362948 deg. took 51.4469146729 ms
pred: -0.168324769391 deg. took 52.5097846985 ms
pred: -0.444885545528 deg. took 51.7399311066 ms
pred: -0.0509984578765 deg. took 54.8980236053 ms
pred: -0.0680927104867 deg. took 50.8160591125 ms
pred: 0.0887932929735 deg. took 52.8061389923 ms
pred: -0.669248455222 deg. took 55.6888580322 ms
pred: 0.30743289768 deg. took 52.1750450134 ms
pred: -0.319029625075 deg. took 56.853055954 ms
pred: -0.844000606045 deg. took 56.2250614166 ms
pred: -0.103434650563 deg. took 56.2529563904 ms
pred: -0.71948780494 deg. took 62.0319843292 ms
pred: -2.03938413592 deg. took 62.9620552063 ms
pred: -2.36025553752 deg. took 52.9129505157 ms
pred: -2.41509512636 deg. took 58.3689212799 ms
pred: -2.51793408304 deg. took 61.6271495819 ms
pred: -4.10119989374 deg. took 61.6281032562 ms
pred: -6.55360492844 deg. took 63.9889240265 ms
pred: -3.78771256697 deg. took 57.0240020752 ms
pred: -5.14911099498 deg. took 56.1408996582 ms
pred: -5.45831963512 deg. took 51.7468452454 ms
pred: -4.71196693527 deg. took 52.3700714111 ms
pred: -5.22083822655 deg. took 51.5909194946 ms
pred: -6.22071346113 deg. took 58.3860874176 ms
pred: -4.98955137266 deg. took 54.5439720154 ms
pred: -6.79627941522 deg. took 53.0450344086 ms
pred: -8.74963198246 deg. took 53.4679889679 ms
pred: -9.82451251252 deg. took 51.2549877167 ms
pred: -10.4950782871 deg. took 51.745891571 ms
pred: -6.94474979853 deg. took 51.1078834534 ms
pred: -5.64743988927 deg. took 54.6350479126 ms
pred: -3.30962344417 deg. took 53.9190769196 ms
pred: -0.127409441643 deg. took 50.8358478546 ms
pred: 0.352293206622 deg. took 51.4590740204 ms
pred: -0.447730265956 deg. took 54.0671348572 ms
pred: -0.356082227384 deg. took 52.4740219116 ms
pred: 14.1711859899 deg. took 51.0818958282 ms
pred: 28.5744003362 deg. took 55.6581020355 ms
pred: 1.43116699611 deg. took 53.4341335297 ms
pred: -0.256509888714 deg. took 59.5362186432 ms
pred: -1.07878793188 deg. took 54.7997951508 ms
pred: -0.98076735349 deg. took 51.3048171997 ms
pred: -0.714838313745 deg. took 50.9181022644 ms
pred: -0.989410317554 deg. took 52.962064743 ms
pred: -0.741851498469 deg. took 54.5048713684 ms
pred: -0.460351441686 deg. took 55.0861358643 ms
pred: 0.382410632283 deg. took 53.4491539001 ms
pred: 0.912393211195 deg. took 59.2639446259 ms
pred: 0.211783435471 deg. took 60.3270530701 ms
pred: 0.35640922269 deg. took 53.9247989655 ms
pred: 0.140947717011 deg. took 51.3670444489 ms
pred: 0.384495520846 deg. took 56.5180778503 ms
pred: -0.407795563942 deg. took 59.278011322 ms
pred: -0.353957211459 deg. took 62.0560646057 ms
